,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Username
270,0.3182,Tue Oct 02 03:16:05 +0000 2018,0.897,0.0,0.103,71,@CNN
271,-0.2263,Tue Oct 02 03:01:04 +0000 2018,0.84,0.16,0.0,72,@CNN
272,0.0,Tue Oct 02 02:53:38 +0000 2018,1.0,0.0,0.0,73,@CNN
273,0.5859,Tue Oct 02 02:51:05 +0000 2018,0.703,0.0,0.297,74,@CNN
274,0.0,Tue Oct 02 02:48:01 +0000 2018,1.0,0.0,0.0,75,@CNN
275,0.0,Tue Oct 02 02:47:19 +0000 2018,1.0,0.0,0.0,76,@CNN
276,0.0,Tue Oct 02 02:47:11 +0000 2018,1.0,0.0,0.0,77,@CNN
277,0.2023,Tue Oct 02 02:46:06 +0000 2018,0.899,0.0,0.101,78,@CNN
278,0.2382,Tue Oct 02 02:31:04 +0000 2018,0.866,0.0,0.134,79,@CNN
279,0.5574,Tue Oct 02 02:16:08 +0000 2018,0.859,0.0,0.141,80,@CNN
280,-0.1027,Tue Oct 02 02:11:04 +0000 2018,0.793,0.116,0.091,81,@CNN
281,0.0,Tue Oct 02 02:06:04 +0000 2018,1.0,0.0,0.0,82,@CNN
282,0.7964,Tue Oct 02 02:01:00 +0000 2018,0.717,0.0,0.283,83,@CNN
283,0.0,Tue Oct 02 01:59:35 +0000 2018,0.777,0.112,0.112,84,@CNN
284,0.0,Tue Oct 02 01:46:00 +0000 2018,1.0,0.0,0.0,85,@CNN
285,-0.1695,Tue Oct 02 01:41:47 +0000 2018,0.923,0.077,0.0,86,@CNN
286,0.0,Tue Oct 02 01:31:00 +0000 2018,1.0,0.0,0.0,87,@CNN
287,0.5574,Tue Oct 02 01:25:49 +0000 2018,0.847,0.0,0.153,88,@CNN
288,-0.5719,Tue Oct 02 01:21:04 +0000 2018,0.783,0.217,0.0,89,@CNN
289,-0.4404,Tue Oct 02 01:20:23 +0000 2018,0.818,0.128,0.054,90,@CNN
